subject,action,feature,group,means_shift,std_shift
subject_1,7,MAV,2,0.101574815782,0.156927478158
subject_1,7,ZC,2,-0.057815264089,1.43057425133
subject_1,7,SSC,2,0.0122289460414,0.288114222721
subject_1,7,WL,2,0.0300116074413,4.58115884374
subject_1,7,MAV,3,0.088592377564,0.378820688573
subject_1,7,ZC,3,0.434667080232,3.79794185896
subject_1,7,SSC,3,-0.0294955458877,2.21232129972
subject_1,7,WL,3,0.436169433541,52.6194770839
subject_1,7,MAV,4,0.088592377564,0.378820688573
subject_1,7,ZC,4,0.434667080232,3.79794185896
subject_1,7,SSC,4,-0.0294955458877,2.21232129972
subject_1,7,WL,4,0.436169433541,52.6194770839
subject_2,1,MAV,1,-0.0858162791577,1.16411888715
subject_2,1,ZC,1,0.0175736023817,0.354571862087
subject_2,1,SSC,1,-0.010971700199,0.336185936701
subject_2,1,WL,1,-0.0890423185919,164.743547888
subject_2,1,MAV,2,-0.142469676452,0.994323871345
subject_2,1,ZC,2,0.124549611973,0.173611768751
subject_2,1,SSC,2,-0.0207175047148,0.403635582262
subject_2,1,WL,2,-0.0509712904405,121.345368114
subject_2,1,MAV,3,-0.053693641861,0.956990951689
subject_2,1,ZC,3,0.0147862823062,0.920509066144
subject_2,1,SSC,3,-0.0165084864919,1.36571372704
subject_2,1,WL,3,-0.0718309442406,131.935220212
subject_2,1,MAV,4,-0.053693641861,0.956990951689
subject_2,1,ZC,4,0.0147862823062,0.920509066144
subject_2,1,SSC,4,-0.0165084864919,1.36571372704
subject_2,1,WL,4,-0.0718309442406,131.935220212
subject_2,2,MAV,1,0.0943372286058,1.41880377043
subject_2,2,ZC,1,-0.0492409305994,1.05384817845
subject_2,2,SSC,1,0.00477227697622,0.712596537079
subject_2,2,WL,1,0.0442716218,273.968237168
subject_2,2,MAV,2,-0.157332437868,1.07530138409
subject_2,2,ZC,2,0.141145881697,0.343410397402
subject_2,2,SSC,2,-0.0245630782787,0.362468353561
subject_2,2,WL,2,-0.0610858374343,197.244547753
subject_2,2,MAV,3,0.00263864105986,2.76455521689
subject_2,2,ZC,3,0.14785665732,1.97950572709
subject_2,2,SSC,3,-0.0701238959764,3.04430096826
subject_2,2,WL,3,0.0919156301095,379.960750434
subject_2,2,MAV,4,0.00263864105986,2.76455521689
subject_2,2,ZC,4,0.14785665732,1.97950572709
subject_2,2,SSC,4,-0.0701238959764,3.04430096826
subject_2,2,WL,4,0.0919156301095,379.960750434
