Feat,Algorithm,Channel_Pos,Gaussian_simu,Accuracy,std
feat_TD4_cv_5,lda,All,1.0,0.999378881988,0.00186335403727
feat_TD4,lda,U1,False,0.880319148936,0.0180633914031
feat_TD4,lda,U1,True,0.776507092199,0.0360474153891
feat_TD4,lda,U2,False,0.933358662614,0.0363824632819
feat_TD4,lda,U2,True,0.898176291793,0.037385215963
feat_TD4,lda,D1,False,0.926709726444,0.0479659872716
feat_TD4,lda,D1,True,0.792502532928,0.0296159953502
feat_TD4,lda,D2,False,0.957142857143,0.0502474037867
feat_TD4,lda,D2,True,0.905749746707,0.0596628181314
feat_TD4,lda,L1,False,0.926811043566,0.0347432519882
feat_TD4,lda,L1,True,0.792781155015,0.0546393241617
feat_TD4,lda,L2,False,0.885625633232,0.0351685090163
feat_TD4,lda,L2,True,0.763994427558,0.0861242474435
feat_TD4,lda,R1,False,0.922581053698,0.0389231726987
feat_TD4,lda,R1,True,0.81952887538,0.0214554482216
feat_TD4,lda,R2,False,0.933320668693,0.0415033422539
feat_TD4,lda,R2,True,0.812854609929,0.0412033441092
