Feat,Algorithm,Channel_Pos,Gaussian_simu,Accuracy,std
feat_TD4_cv_5,lda,All,1.0,0.994616977226,0.00900963143927
feat_TD4,lda,S0,False,0.950645896657,0.0431812719209
feat_TD4,lda,S0,True,0.819554204661,0.111437152549
feat_TD4,lda,U1,False,0.951849037487,0.0416901916202
feat_TD4,lda,U1,True,0.7523556231,0.116946192584
feat_TD4,lda,U2,False,0.961372847011,0.0476120916636
feat_TD4,lda,U2,True,0.796517223911,0.0952109482829
feat_TD4,lda,D1,False,0.957218844985,0.0433782437724
feat_TD4,lda,D1,True,0.80117781155,0.125453298466
feat_TD4,lda,D2,False,0.945883991895,0.0428078069435
feat_TD4,lda,D2,True,0.781446301925,0.138676681559
feat_TD4,lda,L1,False,0.965514184397,0.0499599369967
feat_TD4,lda,L1,True,0.798594224924,0.137138434225
feat_TD4,lda,L2,False,0.958371327254,0.047545438133
feat_TD4,lda,L2,True,0.779711246201,0.127013483971
feat_TD4,lda,R1,False,0.961980749747,0.044530766391
feat_TD4,lda,R1,True,0.85858662614,0.0763342051261
feat_TD4,lda,R2,False,0.954179331307,0.0493698901835
feat_TD4,lda,R2,True,0.897910334347,0.0759904001596
